Key,Type,Desc,English,French,Spanish,German,Russian,Italian,Chinese Simplified,Japanese,Korean,Brazilian Portuguese,Turkish,Thai,Indonesian,Polish,Ukrainian,Arabic,Portuguese,Lithuanian
CONFIRM.CLEARCUSTOMIZATION/CANCEL,Text,,CANCEL,ANNULER,CANCELAR,ABBRECHEN,ОТМЕНИТЬ,ANNULLA,取消,いいえ,취소,CANCELAR,İPTAL ET,ยกเลิก,BATAL,ANULUJ,ВІДМІНИТИ,إلغاء,CANCELAR,ATŠAUKTI
CONFIRM.CLEARCUSTOMIZATION/Clear customized skin,Text,,Clear customized skin,Supprimer la personnalisation de l'apparence,Eliminar piel personalizada,Individuellen Skin löschen,Очистить настройки внешнего вида,Rimuovi skin personalizzata,清除定制皮肤,削除,사용자 지정 스킨 지우기,Apagar skin personalizada,Özelleştirilmiş cildi sil,ล้างผิวที่ปรับแต่งเป็นพิเศษ,Bersihkan sampul ubah suaian,Wyczyść zmiany wyglądu,Очистити персоналізований зовнішній вигляд,إلغاء تحديد البشرة المخصصة,Limpar visual personalizado,Šalinti pritaikytą odą
CONFIRM.CLEARCUSTOMIZATION/DISCARD,Text,,DISCARD,SUPPRIMER,DESCARTAR,VERWERFEN,УДАЛИТЬ,ELIMINA,放弃,はい,폐기,DESCARTAR,GÖZ ARDI ET,ละทิ้ง,BUANG,ODRZUĆ,СКАСУВАТИ,تجاهل,ELIMINAR,ŠALINTI
CONFIRM.CLEARCUSTOMIZATION/Do you want to discard your customizations,Text,,Do you want to discard your customizations?,Voulez-vous supprimer vos modifications ?,¿Quieres descartar las personalizaciones?,Möchtest du deine Veränderungen verwerfen?,Хотите удалить свои настройки?,Vuoi eliminare le tue personalizzazioni?,您确定要放弃定制内容吗？,カスタムスキンを削除しますか？,사용자 지정을 폐기하시겠습니까?,Deseja descartar suas personalizações?,Özelleştirmeleri göz ardı etmek istiyor musunuz?,คุณต้องการละทิ้งการปรับแต่งเป็นพิเศษของคุณหรือไม่,Apakah Kamu ingin membuang ubah suaian?,Czy chcesz odrzucić zmiany w wyglądzie?,Бажаєте скасувати персональні налаштування?,هل ترغب في تجاهل التخصيصات الخاصة بك؟,Queres eliminar as tuas personalizações?,Ar nori pašalinti pritaikytus elementus?
CONFIRM.DISCARDCUSTOMIZATION/CANCEL,Text,,CANCEL,ANNULER,CANCELAR,ABBRECHEN,ОТМЕНИТЬ,ANNULLA,取消,いいえ,취소,CANCELAR,İPTAL ET,ละทิ้ง,BATAL,ANULUJ,ВІДМІНИТИ,إلغاء,CANCELAR,ATŠAUKTI
CONFIRM.DISCARDCUSTOMIZATION/DISCARD,Text,,DISCARD,SUPPRIMER,DESCARTAR,VERWERFEN,УДАЛИТЬ,ELIMINA,放弃,はい,폐기,DESCARTAR,GÖZ ARDI ET,คุณต้องการละทิ้งการปรับแต่งเป็นพิเศษของคุณหรือไม่,BUANG,ODRZUĆ,СКАСУВАТИ,تجاهل,ELIMINAR,ŠALINTI
CONFIRM.DISCARDCUSTOMIZATION/Do you want to discard these changes,Text,,Do you want to discard these changes?,Voulez-vous vraiment supprimer ces modifications ?,¿Quieres descartar estos cambios?,Möchtest du diese Veränderungen verwerfen?,Хотите удалить изменения?,Vuoi eliminare queste modifiche?,确定要放弃本次修改吗？,変更を取り消しますか？,이 변경 내용을 취소하시겠습니까?,Deseja descartar essas alterações?,Bu değişiklikleri göz ardı etmek istiyor musun?,ยกเลิก,Apakah Kamu ingin membuang perubahan ini?,Czy chcesz odrzucić te zmiany?,Бажаєте скасувати дані зміни?,هل ترغب في تجاهل هذه التغييرات؟,Queres eliminar estas alterações?,Ar nori pašalinti šiuos pakeitimus?
CONFIRM.DISCARDCUSTOMIZATION/You ve made appearance changes,Text,,You've made appearance changes,Vous avez modifié votre apparence,Has hecho cambios en la apariencia.,Du hast Veränderungen an deinem Aussehen vorgenommen,Вы изменили внешность,Hai apportato delle modifiche all'aspetto,外观已修改,外見を変更しました,외모를 변경했습니다,Você fez mudanças na aparência,Görünüm değişiklikleri yaptınız,ล้างผิวที่ปรับแต่งเป็นพิเศษ,Kamu membuat perubahan penampilan,Dokonano zmian w wyglądzie,Зовнішній вигляд змінено,لقد أجريت تغييرات في المظهر,Fizeste alterações à aparência,Atlikai išvaizdos pakeitimus
CONFIRM.DISCARDVIDEO/CANCEL,Text,,CANCEL,ANNULER,CANCELAR,ABBRECHEN,ОТМЕНИТЬ,ANNULLA,取消,いいえ,취소,CANCELAR,İPTAL ET,ยกเลิก,BATAL,ANULUJ,НІ,إلغاء,CANCELAR,ATŠAUKTI
CONFIRM.DISCARDVIDEO/DISCARD,Text,,DISCARD,SUPPRIMER,DESCARTAR,VERWERFEN,УДАЛИТЬ,ELIMINA,放弃,はい,폐기,DESCARTAR,GÖZ ARDI ET,ละทิ้ง,BUANG,ODRZUĆ,ТАК,تجاهل,ELIMINAR,ŠALINTI
CONFIRM.DISCARDVIDEO/Do you want to discard,Text,,Do you want to discard changes?,Voulez-vous vraiment supprimer ces modifications ?,¿Quieres descartar estos ajustes?,Möchtest du die Veränderungen verwerfen?,Хотите удалить настройки?,Vuoi eliminare le modifiche?,确定要放弃本次改变吗？,変更を取り消しますか？,변경 내용을 폐기하시겠습니까?,Deseja descartar as alterações?,Bu değişiklikleri göz ardı etmek istiyor musunuz?,คุณต้องการละทิ้งการเปลี่ยนแปลงทั้งหลายหรือไม่,Apakah Kamu ingin membuang perubahan?,Czy chcesz odrzucić zmiany?,Бажаєте скасувати ці зміни?,هل ترغب في تجاهل التغييرات؟,Queres eliminar as alterações?,Ar nori pašalinti pakeitimus?
CONFIRM.DISCARDVIDEO/Settings Changed,Text,,Settings Changed,Paramètres modifiés,Los ajustes han cambiado.,Einstellungen verändert,Настройки изменены,Impostazioni modificate,设置已改变,設定を変更しました,설정이 변경되었습니다,Configurações alteradas,Ayarlar Değiştirildi,การตั้งค่าที่เปลี่ยนแปลงแล้ว,Pengaturan Diubah,Zmieniono ustawienia,Налаштування змінено,تم تغيير الإعدادات,Definições alteradas,Nuostatos pakeistos
CONFIRM.EXIT/CANCEL,Text,,CANCEL,ANNULER,CANCELAR,ABBRECHEN,ОТМЕНИТЬ,ANNULLA,取消,キャンセル,취소,CANCELAR,İPTAL ET,ยกเลิก,BATAL,ANULUJ,ВІДМІНИТИ,إلغاء,CANCELAR,ATŠAUKTI
CONFIRM.EXIT/EXIT,Text,,EXIT,QUITTER,SALIR,VERLASSEN,ВЫЙТИ,ESCI,退出,はい,나가기,SAIR,ÇIKIŞ,ออก,KELUAR,WYJDŹ,ВИЙТИ,خروج,SAIR,IŠEITI
CONFIRM.EXIT/ExitToMainMenu,Text,,Exit to Main Menu?,Retourner au menu principal ?,¿Quieres salir al menú principal?,Zum Hauptmenü verlassen?,Выйти в главное меню?,Tornare al menu principale?,退回主菜单？,メインメニューへ戻りますか？,메인 메뉴로 나가시겠습니까?,Sair para o menu principal?,Ana Menüye dönmek istiyor musunuz?,ออกจากหน้านี้ไปยังเมนูหลักหรือไม่,Keluar ke Menu Utama?,Wyjść do menu głównego?,Вийти в Головне меню?,هل ترغب في الخروج إلى القائمة الرئيسية؟,Sair para o Menu Principal?,Išeiti į pagrindinį meniu?
